cutoff	True.pos	False.pos	True.neg	False.neg	False.pos.rate	True.pos.rate
-0.5	1000	293	0	0	1	1
-0.495	1000	293	0	0	1	1
-0.49	1000	293	0	0	1	1
-0.485	1000	293	0	0	1	1
-0.48	1000	293	0	0	1	1
-0.475	1000	293	0	0	1	1
-0.47	1000	293	0	0	1	1
-0.465	1000	293	0	0	1	1
-0.46	1000	293	0	0	1	1
-0.455	1000	293	0	0	1	1
-0.45	1000	293	0	0	1	1
-0.445	1000	293	0	0	1	1
-0.44	1000	293	0	0	1	1
-0.435	1000	293	0	0	1	1
-0.43	1000	293	0	0	1	1
-0.425	1000	293	0	0	1	1
-0.42	1000	293	0	0	1	1
-0.415	1000	293	0	0	1	1
-0.41	1000	293	0	0	1	1
-0.405	1000	293	0	0	1	1
-0.4	1000	293	0	0	1	1
-0.395	1000	293	0	0	1	1
-0.39	1000	293	0	0	1	1
-0.385	1000	293	0	0	1	1
-0.38	1000	293	0	0	1	1
-0.375	1000	293	0	0	1	1
-0.37	1000	293	0	0	1	1
-0.365	1000	293	0	0	1	1
-0.36	1000	293	0	0	1	1
-0.355	1000	293	0	0	1	1
-0.35	1000	293	0	0	1	1
-0.345	1000	293	0	0	1	1
-0.34	1000	293	0	0	1	1
-0.335	1000	293	0	0	1	1
-0.33	1000	293	0	0	1	1
-0.325	1000	293	0	0	1	1
-0.32	1000	293	0	0	1	1
-0.315	1000	293	0	0	1	1
-0.31	1000	293	0	0	1	1
-0.305	1000	293	0	0	1	1
-0.3	1000	293	0	0	1	1
-0.295	1000	293	0	0	1	1
-0.29	1000	293	0	0	1	1
-0.285	1000	293	0	0	1	1
-0.28	1000	293	0	0	1	1
-0.275	1000	293	0	0	1	1
-0.27	1000	293	0	0	1	1
-0.265	1000	293	0	0	1	1
-0.26	1000	293	0	0	1	1
-0.255	1000	293	0	0	1	1
-0.25	1000	293	0	0	1	1
-0.245	1000	293	0	0	1	1
-0.24	1000	293	0	0	1	1
-0.235	1000	293	0	0	1	1
-0.23	1000	293	0	0	1	1
-0.225	1000	293	0	0	1	1
-0.22	1000	293	0	0	1	1
-0.215	1000	293	0	0	1	1
-0.21	1000	293	0	0	1	1
-0.205	1000	293	0	0	1	1
-0.2	1000	293	0	0	1	1
-0.195	1000	293	0	0	1	1
-0.19	1000	293	0	0	1	1
-0.185	1000	293	0	0	1	1
-0.18	1000	293	0	0	1	1
-0.175	1000	293	0	0	1	1
-0.17	1000	293	0	0	1	1
-0.165	1000	293	0	0	1	1
-0.16	1000	293	0	0	1	1
-0.155	1000	293	0	0	1	1
-0.15	1000	293	0	0	1	1
-0.145	1000	293	0	0	1	1
-0.14	1000	293	0	0	1	1
-0.135	1000	293	0	0	1	1
-0.13	1000	293	0	0	1	1
-0.125	1000	293	0	0	1	1
-0.12	1000	293	0	0	1	1
-0.115	1000	293	0	0	1	1
-0.11	1000	293	0	0	1	1
-0.105	1000	293	0	0	1	1
-0.1	1000	293	0	0	1	1
-0.095	1000	293	0	0	1	1
-0.09	1000	293	0	0	1	1
-0.085	1000	293	0	0	1	1
-0.08	1000	293	0	0	1	1
-0.075	1000	293	0	0	1	1
-0.07	1000	293	0	0	1	1
-0.065	1000	293	0	0	1	1
-0.06	1000	293	0	0	1	1
-0.055	1000	293	0	0	1	1
-0.05	1000	293	0	0	1	1
-0.045	1000	293	0	0	1	1
-0.04	1000	293	0	0	1	1
